,source,target,source_id,target_id
18636,Bombing/Explosion,Business,7,11
18637,Bombing/Explosion,Private Citizens & Property,7,16
18638,Bombing/Explosion,Private Citizens & Property,7,16
18639,Armed Assault,Private Citizens & Property,1,16
18640,Bombing/Explosion,Private Citizens & Property,7,16
18641,Bombing/Explosion,Business,7,11
18642,Armed Assault,Police,1,9
18643,Armed Assault,Maritime,1,26
18644,Facility/Infrastructure Attack,Business,6,11
18645,Armed Assault,Private Citizens & Property,1,16
18646,Armed Assault,Private Citizens & Property,1,16
18647,Armed Assault,Private Citizens & Property,1,16
18648,Facility/Infrastructure Attack,Business,6,11
18649,Armed Assault,Journalists & Media,1,18
18650,Bombing/Explosion,Private Citizens & Property,7,16
18651,Hostage Taking (Kidnapping),Government (General),2,14
18652,Bombing/Explosion,Business,7,11
18653,Hijacking,Transportation,4,22
18654,Armed Assault,Private Citizens & Property,1,16
18655,Facility/Infrastructure Attack,Business,6,11
18656,Bombing/Explosion,Journalists & Media,7,18
18657,Armed Assault,Military,1,13
18658,Bombing/Explosion,Military,7,13
18659,Bombing/Explosion,Utilities,7,19
18660,Unknown,Police,3,9
18661,Unknown,Police,27,9
18662,Bombing/Explosion,Police,7,9
18663,Bombing/Explosion,Business,7,11
18664,Bombing/Explosion,Business,7,11
18665,Assassination,Government (General),0,14
18666,Bombing/Explosion,Government (General),7,14
18667,Bombing/Explosion,Business,7,11
18668,Hostage Taking (Kidnapping),Business,2,11
18669,Facility/Infrastructure Attack,Private Citizens & Property,6,16
18670,Bombing/Explosion,Private Citizens & Property,7,16
18671,Bombing/Explosion,Government (General),7,14
18672,Bombing/Explosion,Military,7,13
18673,Facility/Infrastructure Attack,Private Citizens & Property,6,16
18674,Bombing/Explosion,Police,7,9
18675,Bombing/Explosion,Private Citizens & Property,7,16
18676,Armed Assault,Private Citizens & Property,1,16
18677,Bombing/Explosion,Government (General),7,14
18678,Bombing/Explosion,Government (General),7,14
18679,Bombing/Explosion,Transportation,7,22
18680,Bombing/Explosion,Private Citizens & Property,7,16
18681,Bombing/Explosion,Police,7,9
18682,Bombing/Explosion,Police,7,9
18683,Facility/Infrastructure Attack,Government (General),6,14
18684,Armed Assault,Police,1,9
18685,Bombing/Explosion,Police,7,9
18686,Bombing/Explosion,Police,7,9
18687,Bombing/Explosion,Utilities,7,19
18688,Bombing/Explosion,Utilities,7,19
18689,Bombing/Explosion,Utilities,7,19
18690,Bombing/Explosion,Military,7,13
18691,Hostage Taking (Kidnapping),Airports & Aircraft,2,15
18692,Bombing/Explosion,Police,7,9
18693,Bombing/Explosion,Police,7,9
18694,Bombing/Explosion,Business,7,11
18695,Unknown,Police,3,9
18696,Unknown,Police,27,9
18697,Bombing/Explosion,Unknown,7,3
18698,Bombing/Explosion,Unknown,7,27
18699,Assassination,Police,0,9
18700,Armed Assault,Military,1,13
18701,Bombing/Explosion,Military,7,13
18702,Hostage Taking (Kidnapping),Business,2,11
18703,Bombing/Explosion,Military,7,13
18704,Unknown,Police,3,9
18705,Unknown,Police,27,9
18706,Bombing/Explosion,Military,7,13
18707,Bombing/Explosion,Utilities,7,19
18708,Armed Assault,Business,1,11
18709,Bombing/Explosion,Military,7,13
18710,Bombing/Explosion,Utilities,7,19
18711,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18712,Bombing/Explosion,Police,7,9
18713,Bombing/Explosion,Military,7,13
18714,Bombing/Explosion,Military,7,13
18715,Hostage Taking (Kidnapping),Business,2,11
18716,Bombing/Explosion,Business,7,11
18717,Bombing/Explosion,Government (Diplomatic),7,12
18718,Bombing/Explosion,Transportation,7,22
18719,Unknown,Police,3,9
18720,Unknown,Police,27,9
18721,Bombing/Explosion,Private Citizens & Property,7,16
18722,Bombing/Explosion,Business,7,11
18723,Bombing/Explosion,Transportation,7,22
18724,Bombing/Explosion,Transportation,7,22
18725,Assassination,Journalists & Media,0,18
18726,Bombing/Explosion,Police,7,9
18727,Unknown,Military,3,13
18728,Unknown,Military,27,13
18729,Hostage Taking (Kidnapping),Military,2,13
