,source,target,source_id,target_id
18169,Bombing/Explosion,Utilities,7,19
18170,Bombing/Explosion,Police,7,9
18171,Facility/Infrastructure Attack,Transportation,6,22
18172,Bombing/Explosion,Private Citizens & Property,7,16
18173,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18174,Bombing/Explosion,Utilities,7,19
18175,Armed Assault,Private Citizens & Property,1,16
18176,Bombing/Explosion,Military,7,13
18177,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18178,Bombing/Explosion,Government (General),7,14
18179,Hostage Taking (Kidnapping),Tourists,2,28
18180,Assassination,NGO,0,21
18181,Assassination,Government (General),0,14
18182,Assassination,Private Citizens & Property,0,16
18183,Assassination,Terrorists/Non-State Militia,0,25
18184,Bombing/Explosion,Business,7,11
18185,Bombing/Explosion,Private Citizens & Property,7,16
18186,Hostage Taking (Kidnapping),Business,2,11
18187,Bombing/Explosion,Utilities,7,19
18188,Bombing/Explosion,Journalists & Media,7,18
18189,Bombing/Explosion,Government (Diplomatic),7,12
18190,Bombing/Explosion,Business,7,11
18191,Unknown,Terrorists/Non-State Militia,3,25
18192,Unknown,Terrorists/Non-State Militia,27,25
18193,Bombing/Explosion,Utilities,7,19
18194,Bombing/Explosion,Food or Water Supply,7,24
18195,Bombing/Explosion,Private Citizens & Property,7,16
18196,Bombing/Explosion,Military,7,13
18197,Bombing/Explosion,Business,7,11
18198,Bombing/Explosion,Business,7,11
18199,Bombing/Explosion,Private Citizens & Property,7,16
18200,Armed Assault,Government (General),1,14
18201,Bombing/Explosion,Government (General),7,14
18202,Bombing/Explosion,Transportation,7,22
18203,Bombing/Explosion,Business,7,11
18204,Bombing/Explosion,Business,7,11
18205,Bombing/Explosion,Government (General),7,14
18206,Bombing/Explosion,Government (General),7,14
18207,Bombing/Explosion,Transportation,7,22
18208,Facility/Infrastructure Attack,Transportation,6,22
18209,Facility/Infrastructure Attack,Transportation,6,22
18210,Facility/Infrastructure Attack,Transportation,6,22
18211,Facility/Infrastructure Attack,Transportation,6,22
18212,Facility/Infrastructure Attack,Transportation,6,22
18213,Bombing/Explosion,Government (General),7,14
18214,Bombing/Explosion,Utilities,7,19
18215,Bombing/Explosion,Private Citizens & Property,7,16
18216,Bombing/Explosion,Business,7,11
18217,Facility/Infrastructure Attack,Utilities,6,19
18218,Armed Assault,Private Citizens & Property,1,16
18219,Bombing/Explosion,Private Citizens & Property,7,16
18220,Armed Assault,Private Citizens & Property,1,16
18221,Armed Assault,Private Citizens & Property,1,16
18222,Bombing/Explosion,Business,7,11
18223,Bombing/Explosion,Business,7,11
18224,Bombing/Explosion,Transportation,7,22
18225,Bombing/Explosion,Business,7,11
18226,Bombing/Explosion,Government (Diplomatic),7,12
18227,Bombing/Explosion,Private Citizens & Property,7,16
18228,Bombing/Explosion,Unknown,7,3
18229,Bombing/Explosion,Unknown,7,27
18230,Bombing/Explosion,Government (Diplomatic),7,12
18231,Bombing/Explosion,Unknown,7,3
18232,Bombing/Explosion,Unknown,7,27
18233,Bombing/Explosion,Private Citizens & Property,7,16
18234,Facility/Infrastructure Attack,Transportation,6,22
18235,Assassination,Government (General),0,14
18236,Bombing/Explosion,Educational Institution,7,10
18237,Unknown,Business,3,11
18238,Unknown,Business,27,11
18239,Bombing/Explosion,Business,7,11
18240,Bombing/Explosion,Private Citizens & Property,7,16
18241,Armed Assault,Private Citizens & Property,1,16
18242,Bombing/Explosion,Utilities,7,19
18243,Assassination,Government (General),0,14
18244,Armed Assault,Private Citizens & Property,1,16
