hugo,15
rights,15
employee,15
stadium,15
colombia.,15
(,15
quintero,15
vicente,15
gabriel,15
1,15
journalist:,15
venezuela,15
vendors,15
leaders,15
soccer,15
capital,15
alvarez,15
human,15
mantaro,15
david,15
block,15
orlando,15
criminal,15
man,15
10,15
felipe,15
domingo,14
buenos,14
armed,14
ana,14
villages,14
permanent,14
chavez,14
omar,14
ruben,14
4th,14
citizens,14
aires,14
section,14
daniel,14
herrera,14
jimenez,14
wealthy,14
potable,14
guarding,14
southern,14
gilberto,14
assailants,14
(ambush),14
agent,14
foreign,14
small,14
ford,14
command,14
enterprise,14
reyes,14
courthouse,14
"sanchez,",14
driver,13
board,13
"stores,",13
intersection,13
depot,13
works,13
agrarian,13
facilities,13
o'higgins,13
silva,13
parra,13
printing,13
rodolfo,13
bolivar,13
clothing,13
(2),13
liquor,13
+,13
box,13
control,13
living,13
tractor,13
not,13
morales,13
fernandez,13
boat,13
(bookies),13
communist,13
ten,13
journalists,13
booking,13
fuel,13
alonso,13
christian,13
premises,13
ecuador,13
farmer,13
streets,13
finance,13
north,13
rural,13
cattle,13
campo,13
metro,13
"street,",13
organization,12
gold,12
giraldo,12
gen.,12
montoya,12
ernesto,12
"school,",12
indian,12
cars,12
marcos,12
suspected,12
reporter,12
civic,12
well,12
fabio,12
property,12
fair,12
directorate,12
shantytown,12
mendoza,12
cola,12
front,12
velez,12
commission,12
norte,12
males,12
head,12
sports,12
toll,12
coffee,12
marine,12
concepcion,12
brazilian,12
attention,12
company),12
hamlet,12
pena,12
cattleman,12
dario,12
college,12
processing,12
humberto,12
old,12
guzman,12
supply,12
osorio,12
citizen,12
roman,12
rio,11
nelson,11
sears,11
ivan,11
taxi,11
castillo,11
(military),11
edgar,11
gerardo,11
samuel,11
copper,11
"building,",11
rally,11
french,11
emilio,11
cand.,11
individual,11
"rodriguez,",11
outpost,11
doctor,11
attache,11
jaramillo,11
system,11
cement,11
supreme,11
italian,11
(4),11
"garcia,",11
"torres,",11
"hq,",11
pickup,11
ex,11
dr.,11
flight,11
owned),11
govt.,11
cooperative,11
torre,11
establishment,11
flores,11
regiment,11
argentina,11
bucaramanga,11
spanish,11
shoe,11
gloria,11
year,11
"miguel,",11
first,11
intelligence,11
militia,11
cathedral,11
