,gname,country_txt
141,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
142,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
143,Unknown,Colombia
144,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
145,Unknown,Peru
146,Unknown,Argentina
147,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
148,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
149,Unknown,Peru
150,Unknown,Peru
151,Unknown,Argentina
152,Unknown,Chile
153,Unknown,Chile
154,Unknown,Ecuador
155,Unknown,Chile
156,Unknown,Chile
157,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
158,Unknown,Chile
159,Unknown,Chile
160,Unknown,Argentina
161,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
162,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
163,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
164,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
165,Unknown,Argentina
166,Unknown,Argentina
167,Unknown,Brazil
168,National Liberation Army of Colombia (ELN),Colombia
169,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
170,Unknown,Argentina
171,Unknown,Argentina
172,Unknown,Argentina
173,Unknown,Argentina
174,Unknown,Argentina
175,Unknown,Argentina
176,National Liberation Army of Colombia (ELN),Colombia
177,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
178,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
179,Red Flag (Venezuela),Venezuela
180,Unknown,Argentina
181,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
182,Unknown,Argentina
183,Movement of the Revolutionary Left (MIR) (Venezuela),Venezuela
184,Unknown,Argentina
185,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
186,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
187,Unknown,Chile
188,Unknown,Argentina
189,Unknown,Venezuela
190,Unknown,Argentina
191,Unknown,Argentina
192,Unknown,Bolivia
193,Unknown,Argentina
194,Unknown,Argentina
195,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
196,Unknown,Argentina
197,Unknown,Argentina
198,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
199,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
200,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
201,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
202,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
203,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
204,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
205,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
206,Argentine Liberation Front (FAL),Argentina
207,Unknown,Venezuela
208,Red Flag (Venezuela),Venezuela
209,Unknown,Venezuela
210,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
211,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
212,Unknown,Argentina
213,Unknown,Argentina
214,Peronist Armed Forces (FAP),Argentina
215,Unknown,Argentina
216,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
217,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
218,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
219,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
220,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
221,Unknown,Argentina
222,Unknown,Argentina
223,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
224,Unknown,Argentina
225,Unknown,Argentina
226,Unknown,Argentina
227,Unknown,Argentina
228,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
229,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
230,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
231,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
232,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
233,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
234,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
235,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
236,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
237,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
238,Unknown,Argentina
239,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
240,Unknown,Argentina
241,Peronist Armed Forces (FAP),Argentina
242,Montoneros (Argentina),Argentina
243,Argentine Liberation Front (FAL),Argentina
244,Argentine Liberation Front (FAL),Argentina
245,Montoneros (Argentina),Argentina
246,Montoneros (Argentina),Argentina
247,Montoneros (Argentina),Argentina
248,Montoneros (Argentina),Argentina
249,Montoneros (Argentina),Argentina
250,Montoneros (Argentina),Argentina
251,Montoneros (Argentina),Argentina
252,Montoneros (Argentina),Argentina
253,Montoneros (Argentina),Argentina
254,Montoneros (Argentina),Argentina
255,Montoneros (Argentina),Argentina
