,gname,country_txt
5329,Shining Path (SL),Peru
5330,Shining Path (SL),Peru
5331,Shining Path (SL),Peru
5332,Shining Path (SL),Peru
5333,Manuel Rodriguez Patriotic Front (FPMR),Chile
5334,Shining Path (SL),Peru
5335,Manuel Rodriguez Patriotic Front (FPMR),Chile
5336,Manuel Rodriguez Patriotic Front (FPMR),Chile
5337,Manuel Rodriguez Patriotic Front (FPMR),Chile
5338,Manuel Rodriguez Patriotic Front (FPMR),Chile
5339,Manuel Rodriguez Patriotic Front (FPMR),Chile
5340,Manuel Rodriguez Patriotic Front (FPMR),Chile
5341,Manuel Rodriguez Patriotic Front (FPMR),Chile
5342,Manuel Rodriguez Patriotic Front (FPMR),Chile
5343,Shining Path (SL),Peru
5344,Shining Path (SL),Peru
5345,M-19 (Movement of April 19),Colombia
5346,Unknown,Peru
5347,Popular Liberation Army (EPL),Colombia
5348,M-19 (Movement of April 19),Colombia
5349,Tupac Amaru Revolutionary Movement (MRTA),Peru
5350,Shining Path (SL),Peru
5351,Shining Path (SL),Peru
5352,Javier Heraud Revolutionary Commando,Peru
5353,Popular Liberation Army (EPL),Colombia
5354,Shining Path (SL),Peru
5355,Unknown,Colombia
5356,Unknown,Peru
5357,Unknown,Peru
5358,People's Revolutionary Command (CRP),Peru
5359,People's Revolutionary Command (CRP),Peru
5360,Unknown,Peru
5361,Chilean Anti-Communist Alliance (ACHA),Chile
5362,Chilean Anti-Communist Alliance (ACHA),Chile
5363,Manuel Rodriguez Patriotic Front (FPMR),Chile
5364,Tupac Amaru Revolutionary Movement (MRTA),Peru
5365,Unknown,Argentina
5366,Revolutionary Armed Forces of Colombia (FARC),Colombia
5367,Unknown,Colombia
5368,Unknown,Chile
5369,Unknown,Colombia
5370,Popular Liberation Army (EPL),Colombia
5371,Shining Path (SL),Peru
5372,Shining Path (SL),Peru
5373,Unknown,Chile
5374,Unknown,Chile
5375,M-19 (Movement of April 19),Colombia
5376,M-19 (Movement of April 19),Colombia
5377,M-19 (Movement of April 19),Colombia
5378,Manuel Rodriguez Patriotic Front (FPMR),Chile
5379,Manuel Rodriguez Patriotic Front (FPMR),Chile
5380,M-19 (Movement of April 19),Colombia
5381,Manuel Rodriguez Patriotic Front (FPMR),Chile
5382,M-19 (Movement of April 19),Colombia
5383,M-19 (Movement of April 19),Colombia
5384,M-19 (Movement of April 19),Colombia
5385,M-19 (Movement of April 19),Colombia
5386,Unknown,Peru
5387,Unknown,Peru
5388,Manuel Rodriguez Patriotic Front (FPMR),Chile
5389,Manuel Rodriguez Patriotic Front (FPMR),Chile
5390,M-19 (Movement of April 19),Colombia
5391,Unknown,Colombia
5392,M-19 (Movement of April 19),Colombia
5393,Shining Path (SL),Peru
5394,Shining Path (SL),Peru
5395,M-19 (Movement of April 19),Colombia
5396,Shining Path (SL),Peru
5397,Unknown,Peru
5398,Shining Path (SL),Peru
5399,Shining Path (SL),Peru
5400,Unknown,Peru
5401,Unknown,Peru
5402,M-19 (Movement of April 19),Colombia
5403,Unknown,Chile
5404,M-19 (Movement of April 19),Colombia
5405,M-19 (Movement of April 19),Colombia
5406,Unknown,Peru
5407,Shining Path (SL),Peru
5408,Shining Path (SL),Peru
5409,Shining Path (SL),Peru
5410,Shining Path (SL),Peru
5411,Unknown,Peru
5412,Unknown,Colombia
5413,M-19 (Movement of April 19),Ecuador
5414,Shining Path (SL),Peru
5415,Shining Path (SL),Peru
5416,Unknown,Peru
5417,Unknown,Peru
5418,Unknown,Peru
5419,Unknown,Peru
5420,Unknown,Peru
5421,Unknown,Peru
5422,Unknown,Peru
5423,Unknown,Chile
5424,Manuel Rodriguez Patriotic Front (FPMR),Chile
5425,Unknown,Chile
5426,Manuel Rodriguez Patriotic Front (FPMR),Chile
5427,M-19 (Movement of April 19),Colombia
5428,Shining Path (SL),Peru
5429,Manuel Rodriguez Patriotic Front (FPMR),Chile
5430,Shining Path (SL),Peru
5431,M-19 (Movement of April 19),Colombia
5432,Popular Liberation Army (EPL),Colombia
5433,M-19 (Movement of April 19),Colombia
5434,Manuel Rodriguez Patriotic Front (FPMR),Chile
5435,Unknown,Chile
5436,Revolutionary Armed Forces of Colombia (FARC),Colombia
5437,Ricardo Franco Front (Dissident FARC),Colombia
5438,M-19 (Movement of April 19),Colombia
5439,Unknown,Chile
5440,Unknown,Chile
5441,Ricardo Franco Front (Dissident FARC),Colombia
5442,Ricardo Franco Front (Dissident FARC),Colombia
5443,Ricardo Franco Front (Dissident FARC),Colombia
5444,Ricardo Franco Front (Dissident FARC),Colombia
5445,Ricardo Franco Front (Dissident FARC),Colombia
5446,Ricardo Franco Front (Dissident FARC),Colombia
5447,Ricardo Franco Front (Dissident FARC),Colombia
5448,Ricardo Franco Front (Dissident FARC),Colombia
5449,Ricardo Franco Front (Dissident FARC),Colombia
5450,Ricardo Franco Front (Dissident FARC),Colombia
5451,Ricardo Franco Front (Dissident FARC),Colombia
5452,Ricardo Franco Front (Dissident FARC),Colombia
5453,Ricardo Franco Front (Dissident FARC),Colombia
5454,Ricardo Franco Front (Dissident FARC),Colombia
5455,Ricardo Franco Front (Dissident FARC),Colombia
5456,Ricardo Franco Front (Dissident FARC),Colombia
5457,Ricardo Franco Front (Dissident FARC),Colombia
5458,Manuel Rodriguez Patriotic Front (FPMR),Chile
5459,Manuel Rodriguez Patriotic Front (FPMR),Chile
5460,Ricardo Franco Front (Dissident FARC),Colombia
5461,Ricardo Franco Front (Dissident FARC),Colombia
5462,Ricardo Franco Front (Dissident FARC),Colombia
5463,Manuel Rodriguez Patriotic Front (FPMR),Chile
5464,Shining Path (SL),Peru
5465,M-19 (Movement of April 19),Colombia
5466,Unknown,Argentina
5467,Shining Path (SL),Peru
5468,M-19 (Movement of April 19),Colombia
5469,Broad Front,Uruguay
5470,Unknown,Chile
5471,Unknown,Chile
5472,M-19 (Movement of April 19),Colombia
5473,Unknown,Colombia
5474,Unknown,Colombia
5475,M-19 (Movement of April 19),Colombia
5476,M-19 (Movement of April 19),Colombia
5477,Manuel Rodriguez Patriotic Front (FPMR),Chile
5478,Manuel Rodriguez Patriotic Front (FPMR),Chile
5479,M-19 (Movement of April 19),Colombia
5480,Unknown,Chile
5481,Unknown,Chile
5482,M-19 (Movement of April 19),Colombia
5483,Unknown,Argentina
5484,Unknown,Colombia
5485,Tupac Amaru Revolutionary Movement (MRTA),Peru
5486,Democratic Revolutionary Alliance (ARDE),Colombia
5487,Revolutionary Armed Forces of Colombia (FARC),Colombia
5488,Unknown,Colombia
5489,Unknown,Colombia
5490,Unknown,Colombia
5491,Unknown,Colombia
5492,M-19 (Movement of April 19),Colombia
5493,Unknown,Colombia
5494,Unknown,Bolivia
5495,M-19 (Movement of April 19),Colombia
5496,Unknown,Bolivia
5497,Unknown,Bolivia
5498,M-19 (Movement of April 19),Colombia
5499,M-19 (Movement of April 19),Colombia
5500,Unknown,Argentina
5501,Unknown,Chile
5502,M-19 (Movement of April 19),Colombia
5503,Shining Path (SL),Peru
5504,Shining Path (SL),Peru
5505,Shining Path (SL),Peru
5506,M-19 (Movement of April 19),Colombia
5507,M-19 (Movement of April 19),Colombia
5508,Unknown,Argentina
5509,Unknown,Peru
5510,Unknown,Peru
5511,Unknown,Peru
5512,Manuel Rodriguez Patriotic Front (FPMR),Chile
5513,Manuel Rodriguez Patriotic Front (FPMR),Chile
5514,Unknown,Peru
5515,Unknown,Peru
5516,Shining Path (SL),Peru
5517,Unknown,Peru
5518,Shining Path (SL),Peru
5519,M-19 (Movement of April 19),Colombia
5520,Shining Path (SL),Peru
5521,Shining Path (SL),Peru
5522,Unknown,Ecuador
5523,Unknown,Colombia
5524,M-19 (Movement of April 19),Colombia
5525,M-19 (Movement of April 19),Colombia
5526,M-19 (Movement of April 19),Colombia
5527,M-19 (Movement of April 19),Colombia
5528,M-19 (Movement of April 19),Colombia
5529,M-19 (Movement of April 19),Colombia
5530,Shining Path (SL),Peru
5531,Popular Liberation Army (EPL),Colombia
5532,Shining Path (SL),Peru
5533,Shining Path (SL),Peru
5534,Unknown,Colombia
5535,M-19 (Movement of April 19),Colombia
5536,M-19 (Movement of April 19),Colombia
5537,M-19 (Movement of April 19),Colombia
5538,Shining Path (SL),Peru
5539,Shining Path (SL),Peru
5540,Manuel Rodriguez Patriotic Front (FPMR),Chile
5541,Manuel Rodriguez Patriotic Front (FPMR),Chile
5542,Manuel Rodriguez Patriotic Front (FPMR),Chile
5543,M-19 (Movement of April 19),Colombia
5544,M-19 (Movement of April 19),Colombia
5545,M-19 (Movement of April 19),Colombia
5546,Manuel Rodriguez Patriotic Front (FPMR),Chile
5547,M-19 (Movement of April 19),Colombia
5548,M-19 (Movement of April 19),Colombia
5549,Shining Path (SL),Peru
5550,Shining Path (SL),Peru
5551,M-19 (Movement of April 19),Colombia
5552,Revolutionary Armed Forces of Colombia (FARC),Colombia
5553,Shining Path (SL),Peru
5554,Revolutionary Armed Forces of Colombia (FARC),Colombia
5555,Movement of the Revolutionary Left (MIR) (Chile),Chile
5556,Unknown,Argentina
5557,Shining Path (SL),Peru
5558,Shining Path (SL),Peru
5559,Shining Path (SL),Peru
5560,Shining Path (SL),Peru
5561,Shining Path (SL),Peru
5562,Shining Path (SL),Peru
5563,Shining Path (SL),Peru
5564,Shining Path (SL),Peru
5565,Shining Path (SL),Peru
5566,Shining Path (SL),Peru
5567,Shining Path (SL),Peru
5568,Shining Path (SL),Peru
5569,Unknown,Peru
5570,M-19 (Movement of April 19),Colombia
5571,M-19 (Movement of April 19),Colombia
5572,M-19 (Movement of April 19),Brazil
5573,Shining Path (SL),Peru
5574,Manuel Rodriguez Patriotic Front (FPMR),Chile
5575,Unknown,Argentina
5576,Shining Path (SL),Peru
5577,Revolutionary Armed Forces of Colombia (FARC),Colombia
5578,Popular Liberation Army (EPL),Colombia
5579,Revolutionary Armed Forces of Colombia (FARC),Colombia
5580,Revolutionary Armed Forces of Colombia (FARC),Colombia
5581,Shining Path (SL),Peru
5582,Shining Path (SL),Peru
5583,Unknown,Argentina
5584,Manuel Rodriguez Patriotic Front (FPMR),Chile
5585,Manuel Rodriguez Patriotic Front (FPMR),Chile
5586,Unknown,Peru
5587,Manuel Rodriguez Patriotic Front (FPMR),Chile
5588,Shining Path (SL),Peru
5589,Unknown,Colombia
5590,Unknown,Argentina
5591,People's Revolutionary Command (CRP),Peru
5592,Quintin Lame,Colombia
5593,Shining Path (SL),Peru
5594,M-19 (Movement of April 19),Colombia
5595,Unknown,Argentina
5596,Manuel Rodriguez Patriotic Front (FPMR),Chile
5597,Unknown,Argentina
5598,National Liberation Army of Colombia (ELN),Colombia
5599,Unknown,Argentina
5600,Unknown,Argentina
5601,M-19 (Movement of April 19),Colombia
5602,M-19 (Movement of April 19),Colombia
5603,Manuel Rodriguez Patriotic Front (FPMR),Chile
5604,Unknown,Chile
5605,Unknown,Argentina
5606,Shining Path (SL),Peru
5607,Unknown,Chile
5608,M-19 (Movement of April 19),Colombia
5609,M-19 (Movement of April 19),Colombia
5610,Unknown,Colombia
5611,National Liberation Army of Colombia (ELN),Colombia
5612,Shining Path (SL),Peru
5613,Unknown,Argentina
5614,Unknown,Chile
5615,Manuel Rodriguez Patriotic Front (FPMR),Chile
5616,Manuel Rodriguez Patriotic Front (FPMR),Chile
5617,Shining Path (SL),Peru
5618,M-19 (Movement of April 19),Colombia
5619,Unknown,Argentina
5620,Unknown,Chile
5621,Unknown,Argentina
5622,Unknown,Chile
5623,Unknown,Argentina
5624,Unknown,Chile
5625,Unknown,Chile
5626,Manuel Rodriguez Patriotic Front (FPMR),Chile
5627,Manuel Rodriguez Patriotic Front (FPMR),Chile
5628,Manuel Rodriguez Patriotic Front (FPMR),Chile
5629,Manuel Rodriguez Patriotic Front (FPMR),Chile
5630,Ricardo Franco Front (Dissident FARC),Colombia
5631,Shining Path (SL),Peru
5632,Shining Path (SL),Peru
5633,Shining Path (SL),Peru
5634,Shining Path (SL),Peru
5635,Unknown,Chile
5636,Unknown,Chile
5637,Unknown,Chile
5638,Manuel Rodriguez Patriotic Front (FPMR),Chile
5639,Unknown,Chile
5640,Unknown,Chile
5641,Unknown,Chile
5642,Unknown,Chile
5643,Unknown,Chile
5644,Manuel Rodriguez Patriotic Front (FPMR),Chile
5645,Manuel Rodriguez Patriotic Front (FPMR),Chile
5646,Manuel Rodriguez Patriotic Front (FPMR),Chile
5647,Manuel Rodriguez Patriotic Front (FPMR),Chile
5648,Shining Path (SL),Peru
5649,Tupac Amaru Revolutionary Movement (MRTA),Peru
5650,Tupac Amaru Revolutionary Movement (MRTA),Peru
5651,Manuel Rodriguez Patriotic Front (FPMR),Chile
5652,Manuel Rodriguez Patriotic Front (FPMR),Chile
5653,Manuel Rodriguez Patriotic Front (FPMR),Chile
5654,Manuel Rodriguez Patriotic Front (FPMR),Chile
5655,Unknown,Colombia
5656,Unknown,Colombia
5657,Unknown,Argentina
5658,Unknown,Chile
5659,Unknown,Colombia
5660,Unknown,Colombia
5661,Unknown,Colombia
5662,Unknown,Colombia
5663,Unknown,Colombia
5664,Unknown,Colombia
5665,Unknown,Colombia
5666,Unknown,Colombia
5667,Revolutionary Armed Forces of Colombia (FARC),Colombia
5668,Tupac Amaru Revolutionary Movement (MRTA),Peru
5669,Tupac Amaru Revolutionary Movement (MRTA),Peru
5670,M-19 (Movement of April 19),Colombia
5671,Unknown,Colombia
5672,Tupac Amaru Revolutionary Movement (MRTA),Peru
5673,Manuel Rodriguez Patriotic Front (FPMR),Chile
5674,M-19 (Movement of April 19),Colombia
5675,M-19 (Movement of April 19),Colombia
5676,Shining Path (SL),Peru
5677,Shining Path (SL),Peru
5678,National Liberation Army of Colombia (ELN),Colombia
5679,National Liberation Army of Colombia (ELN),Colombia
5680,Tupac Amaru Revolutionary Movement (MRTA),Peru
5681,Unknown,Chile
5682,Manuel Rodriguez Patriotic Front (FPMR),Chile
5683,Manuel Rodriguez Patriotic Front (FPMR),Chile
5684,Unknown,Colombia
5685,M-19 (Movement of April 19),Colombia
5686,M-19 (Movement of April 19),Colombia
5687,Shining Path (SL),Peru
5688,Manuel Rodriguez Patriotic Front (FPMR),Chile
5689,Manuel Rodriguez Patriotic Front (FPMR),Chile
5690,Manuel Rodriguez Patriotic Front (FPMR),Chile
5691,Shining Path (SL),Peru
5692,Tupac Amaru Revolutionary Movement (MRTA),Peru
5693,Manuel Rodriguez Patriotic Front (FPMR),Chile
5694,Manuel Rodriguez Patriotic Front (FPMR),Chile
5695,Manuel Rodriguez Patriotic Front (FPMR),Chile
5696,Shining Path (SL),Peru
5697,Unknown,Chile
5698,Manuel Rodriguez Patriotic Front (FPMR),Chile
5699,M-19 (Movement of April 19),Colombia
5700,M-19 (Movement of April 19),Colombia
5701,M-19 (Movement of April 19),Colombia
5702,M-19 (Movement of April 19),Colombia
5703,Unknown,Colombia
5704,Manuel Rodriguez Patriotic Front (FPMR),Chile
5705,Manuel Rodriguez Patriotic Front (FPMR),Chile
5706,Unknown,Argentina
5707,Unknown,Chile
5708,Unknown,Colombia
5709,Tupac Amaru Revolutionary Movement (MRTA),Peru
5710,Shining Path (SL),Peru
5711,Unknown,Chile
5712,Manuel Rodriguez Patriotic Front (FPMR),Chile
5713,Manuel Rodriguez Patriotic Front (FPMR),Chile
5714,Manuel Rodriguez Patriotic Front (FPMR),Chile
5715,Manuel Rodriguez Patriotic Front (FPMR),Chile
5716,Manuel Rodriguez Patriotic Front (FPMR),Chile
5717,Manuel Rodriguez Patriotic Front (FPMR),Chile
5718,Manuel Rodriguez Patriotic Front (FPMR),Chile
5719,Manuel Rodriguez Patriotic Front (FPMR),Chile
5720,Unknown,Chile
5721,Unknown,Chile
5722,Unknown,Chile
5723,Manuel Rodriguez Patriotic Front (FPMR),Chile
5724,Manuel Rodriguez Patriotic Front (FPMR),Chile
5725,Manuel Rodriguez Patriotic Front (FPMR),Chile
5726,Shining Path (SL),Peru
5727,Popular Liberation Army (EPL),Colombia
5728,Shining Path (SL),Peru
5729,Shining Path (SL),Peru
5730,Unknown,Chile
5731,Unknown,Chile
5732,Unknown,Chile
5733,Unknown,Peru
5734,Unknown,Colombia
5735,Unknown,Chile
5736,Revolutionary Armed Forces of Colombia (FARC),Colombia
5737,M-19 (Movement of April 19),Colombia
5738,Revolutionary Armed Forces of Colombia (FARC),Colombia
5739,Popular Liberation Army (EPL),Colombia
5740,Revolutionary Armed Forces of Colombia (FARC),Colombia
5741,M-19 (Movement of April 19),Colombia
5742,Revolutionary Armed Forces of Colombia (FARC),Colombia
5743,Unknown,Colombia
5744,Shining Path (SL),Peru
5745,Revolutionary Armed Forces of Colombia (FARC),Colombia
5746,Manuel Rodriguez Patriotic Front (FPMR),Chile
5747,Manuel Rodriguez Patriotic Front (FPMR),Chile
5748,Manuel Rodriguez Patriotic Front (FPMR),Chile
5749,Manuel Rodriguez Patriotic Front (FPMR),Chile
5750,Manuel Rodriguez Patriotic Front (FPMR),Chile
5751,Manuel Rodriguez Patriotic Front (FPMR),Chile
5752,Manuel Rodriguez Patriotic Front (FPMR),Chile
5753,Unknown,Chile
5754,Unknown,Chile
5755,National Liberation Army of Colombia (ELN),Colombia
5756,M-19 (Movement of April 19),Colombia
5757,Manuel Rodriguez Patriotic Front (FPMR),Chile
5758,Unknown,Chile
5759,Manuel Rodriguez Patriotic Front (FPMR),Chile
5760,Ricardo Franco Front (Dissident FARC),Colombia
5761,M-19 (Movement of April 19),Colombia
5762,Popular Liberation Army (EPL),Colombia
5763,Unknown,Chile
5764,Manuel Rodriguez Patriotic Front (FPMR),Chile
5765,Free Fatherland,Colombia
5766,Shining Path (SL),Peru
5767,National Liberation Army of Colombia (ELN),Venezuela
5768,Popular Liberation Army (EPL),Colombia
5769,Popular Liberation Army (EPL),Colombia
5770,National Liberation Army of Colombia (ELN),Colombia
5771,Unknown,Chile
5772,Unknown,Chile
5773,Shining Path (SL),Peru
5774,Shining Path (SL),Peru
5775,Ricardo Franco Front (Dissident FARC),Colombia
5776,Manuel Rodriguez Patriotic Front (FPMR),Chile
5777,Popular Liberation Army (EPL),Colombia
5778,Popular Liberation Army (EPL),Colombia
5779,Popular Liberation Army (EPL),Colombia
5780,Manuel Rodriguez Patriotic Front (FPMR),Chile
5781,Manuel Rodriguez Patriotic Front (FPMR),Chile
5782,Popular Liberation Army (EPL),Colombia
5783,Red Flag (Venezuela),Colombia
5784,Shining Path (SL),Peru
5785,Unknown,Argentina
5786,Shining Path (SL),Peru
5787,Shining Path (SL),Peru
5788,Tupac Amaru Revolutionary Movement (MRTA),Peru
5789,Shining Path (SL),Peru
5790,Tupac Amaru Revolutionary Movement (MRTA),Peru
5791,Tupac Amaru Revolutionary Movement (MRTA),Peru
5792,Tupac Amaru Revolutionary Movement (MRTA),Peru
5793,Unknown,Argentina
5794,Unknown,Argentina
5795,Unknown,Argentina
5796,Unknown,Colombia
5797,Tupac Amaru Revolutionary Movement (MRTA),Peru
5798,Tupac Amaru Revolutionary Movement (MRTA),Peru
5799,Unknown,Peru
5800,Tupac Amaru Revolutionary Movement (MRTA),Peru
5801,Tupac Amaru Revolutionary Movement (MRTA),Peru
5802,Tupac Amaru Revolutionary Movement (MRTA),Peru
5803,Tupac Amaru Revolutionary Movement (MRTA),Peru
5804,Tupac Amaru Revolutionary Movement (MRTA),Peru
5805,Tupac Amaru Revolutionary Movement (MRTA),Peru
5806,Tupac Amaru Revolutionary Movement (MRTA),Peru
5807,Tupac Amaru Revolutionary Movement (MRTA),Peru
5808,Tupac Amaru Revolutionary Movement (MRTA),Peru
5809,Tupac Amaru Revolutionary Movement (MRTA),Peru
5810,Shining Path (SL),Peru
5811,Shining Path (SL),Peru
5812,Popular Liberation Army (EPL),Colombia
5813,Shining Path (SL),Peru
5814,Shining Path (SL),Peru
5815,Shining Path (SL),Peru
5816,Maoists,Peru
5817,Shining Path (SL),Peru
5818,M-19 (Movement of April 19),Colombia
5819,Shining Path (SL),Peru
5820,Shining Path (SL),Peru
5821,Shining Path (SL),Peru
5822,Shining Path (SL),Peru
5823,Shining Path (SL),Peru
5824,Unknown,Peru
5825,Shining Path (SL),Peru
5826,Shining Path (SL),Peru
5827,Shining Path (SL),Peru
5828,Shining Path (SL),Peru
5829,Shining Path (SL),Peru
5830,Shining Path (SL),Peru
5831,Shining Path (SL),Peru
5832,Shining Path (SL),Peru
5833,Shining Path (SL),Peru
5834,Shining Path (SL),Peru
5835,Shining Path (SL),Peru
5836,Shining Path (SL),Peru
5837,Unknown,Peru
5838,Shining Path (SL),Peru
5839,Unknown,Peru
5840,Shining Path (SL),Peru
5841,Shining Path (SL),Peru
5842,Revolutionary Armed Forces of Colombia (FARC),Colombia
5843,Shining Path (SL),Peru
5844,Shining Path (SL),Peru
5845,Shining Path (SL),Peru
5846,Shining Path (SL),Peru
5847,Shining Path (SL),Peru
5848,Unknown,Colombia
5849,"former ""comrades-in-arms""",Colombia
5850,Unknown,Peru
5851,Shining Path (SL),Peru
5852,Ricardo Franco Front (Dissident FARC),Colombia
5853,Shining Path (SL),Peru
5854,Shining Path (SL),Peru
5855,Shining Path (SL),Peru
5856,Shining Path (SL),Peru
5857,Shining Path (SL),Peru
5858,Shining Path (SL),Peru
5859,Shining Path (SL),Peru
5860,Popular Liberation Army (EPL),Colombia
5861,Tupac Amaru Revolutionary Movement (MRTA),Peru
5862,Shining Path (SL),Peru
5863,Shining Path (SL),Peru
5864,Shining Path (SL),Peru
5865,Unknown,Chile
5866,M-19 (Movement of April 19),Colombia
5867,Simon Bolivar Guerrilla Coordinating Board (CGSB),Colombia
5868,Shining Path (SL),Peru
5869,Shining Path (SL),Peru
5870,Shining Path (SL),Peru
5871,Shining Path (SL),Peru
5872,Shining Path (SL),Peru
5873,Shining Path (SL),Peru
5874,Shining Path (SL),Peru
5875,Shining Path (SL),Peru
5876,Shining Path (SL),Peru
5877,Shining Path (SL),Peru
5878,Shining Path (SL),Peru
5879,Shining Path (SL),Peru
5880,Shining Path (SL),Peru
5881,Shining Path (SL),Peru
5882,Shining Path (SL),Peru
5883,Tupac Amaru Revolutionary Movement (MRTA),Peru
5884,M-19 (Movement of April 19),Colombia
5885,Alfaro Vive,Ecuador
5886,Tupac Amaru Revolutionary Movement (MRTA),Peru
5887,Tupac Amaru Revolutionary Movement (MRTA),Peru
5888,Tupac Amaru Revolutionary Movement (MRTA),Peru
5889,Tupac Amaru Revolutionary Movement (MRTA),Peru
5890,Tupac Amaru Revolutionary Movement (MRTA),Peru
5891,Tupac Amaru Revolutionary Movement (MRTA),Peru
5892,Tupac Amaru Revolutionary Movement (MRTA),Peru
5893,Shining Path (SL),Peru
5894,Tupac Amaru Revolutionary Movement (MRTA),Peru
5895,Tupac Amaru Revolutionary Movement (MRTA),Peru
5896,Tupac Amaru Revolutionary Movement (MRTA),Peru
5897,Shining Path (SL),Peru
5898,Shining Path (SL),Peru
5899,Shining Path (SL),Peru
5900,Tupac Amaru Revolutionary Movement (MRTA),Peru
5901,Tupac Amaru Revolutionary Movement (MRTA),Peru
5902,Tupac Amaru Revolutionary Movement (MRTA),Peru
5903,Tupac Amaru Revolutionary Movement (MRTA),Peru
5904,Tupac Amaru Revolutionary Movement (MRTA),Peru
5905,Tupac Amaru Revolutionary Movement (MRTA),Peru
5906,Shining Path (SL),Peru
5907,Tupac Amaru Revolutionary Movement (MRTA),Peru
5908,Shining Path (SL),Peru
5909,Manuel Rodriguez Patriotic Front (FPMR),Chile
5910,Shining Path (SL),Peru
5911,Shining Path (SL),Peru
5912,Manuel Rodriguez Patriotic Front (FPMR),Chile
5913,Manuel Rodriguez Patriotic Front (FPMR),Chile
5914,Shining Path (SL),Peru
5915,Shining Path (SL),Peru
5916,Shining Path (SL),Peru
5917,Shining Path (SL),Peru
5918,Shining Path (SL),Peru
5919,Shining Path (SL),Peru
5920,Shining Path (SL),Peru
5921,Shining Path (SL),Peru
5922,Shining Path (SL),Peru
5923,Shining Path (SL),Peru
5924,Shining Path (SL),Peru
5925,M-19 (Movement of April 19),Colombia
5926,Shining Path (SL),Peru
5927,Shining Path (SL),Peru
5928,Shining Path (SL),Peru
5929,Shining Path (SL),Peru
5930,Tupac Amaru Revolutionary Movement (MRTA),Peru
5931,Tupac Amaru Revolutionary Movement (MRTA),Peru
5932,Tupac Amaru Revolutionary Movement (MRTA),Peru
5933,Tupac Amaru Revolutionary Movement (MRTA),Peru
5934,Tupac Amaru Revolutionary Movement (MRTA),Peru
5935,Tupac Amaru Revolutionary Movement (MRTA),Peru
5936,Tupac Amaru Revolutionary Movement (MRTA),Peru
5937,Tupac Amaru Revolutionary Movement (MRTA),Peru
5938,Tupac Amaru Revolutionary Movement (MRTA),Peru
5939,Tupac Amaru Revolutionary Movement (MRTA),Peru
5940,Tupac Amaru Revolutionary Movement (MRTA),Peru
5941,Tupac Amaru Revolutionary Movement (MRTA),Peru
5942,Movement of the Revolutionary Left (MIR) (Chile),Chile
5943,Unknown,Chile
5944,Manuel Rodriguez Patriotic Front (FPMR),Chile
5945,Manuel Rodriguez Patriotic Front (FPMR),Chile
5946,Manuel Rodriguez Patriotic Front (FPMR),Chile
5947,Movement of the Revolutionary Left (MIR) (Chile),Chile
5948,Shining Path (SL),Peru
5949,Tupac Amaru Revolutionary Movement (MRTA),Peru
5950,Shining Path (SL),Peru
5951,Shining Path (SL),Peru
5952,Unknown,Chile
5953,Revolutionary Armed Forces of Colombia (FARC),Colombia
5954,Shining Path (SL),Peru
5955,America Battalion,Colombia
5956,Shining Path (SL),Peru
5957,Unknown,Argentina
5958,M-19 (Movement of April 19),Colombia
5959,M-19 (Movement of April 19),Colombia
5960,Revolutionary Armed Forces of Colombia (FARC),Colombia
5961,M-19 (Movement of April 19),Colombia
5962,National Liberation Army of Colombia (ELN),Colombia
5963,Shining Path (SL),Peru
5964,Shining Path (SL),Peru
5965,M-19 (Movement of April 19),Colombia
5966,Unknown,Chile
5967,Unknown,Peru
5968,M-19 (Movement of April 19),Colombia
5969,Shining Path (SL),Peru
5970,Shining Path (SL),Peru
5971,Shining Path (SL),Peru
5972,Shining Path (SL),Peru
5973,Shining Path (SL),Peru
5974,Shining Path (SL),Peru
5975,Shining Path (SL),Peru
5976,Shining Path (SL),Peru
5977,Shining Path (SL),Peru
5978,Shining Path (SL),Peru
5979,Shining Path (SL),Peru
5980,Shining Path (SL),Peru
5981,Unknown,Peru
5982,Shining Path (SL),Peru
5983,Black Flag (Bandera Negra),Colombia
5984,Shining Path (SL),Peru
5985,National Liberation Army of Colombia (ELN),Colombia
5986,Shining Path (SL),Peru
5987,M-19 (Movement of April 19),Colombia
5988,Popular Liberation Army (EPL),Colombia
5989,M-19 (Movement of April 19),Colombia
5990,Popular Liberation Army (EPL),Colombia
5991,Unknown,Peru
5992,Unknown,Peru
5993,M-19 (Movement of April 19),Colombia
5994,Shining Path (SL),Peru
5995,Shining Path (SL),Peru
5996,America Battalion,Colombia
5997,M-19 (Movement of April 19),Colombia
5998,Revolutionary Armed Forces of Colombia (FARC),Colombia
5999,Revolutionary Armed Forces of Colombia (FARC),Colombia
6000,Revolutionary Armed Forces of Colombia (FARC),Colombia
6001,M-19 (Movement of April 19),Colombia
6002,Unknown,Argentina
6003,Unknown,Argentina
6004,Unknown,Chile
6005,Popular Liberation Army (EPL),Colombia
6006,Unknown,Chile
6007,Unknown,Chile
6008,Shining Path (SL),Peru
6009,Unknown,Chile
6010,Unknown,Chile
6011,Unknown,Chile
6012,Unknown,Chile
6013,Manuel Rodriguez Patriotic Front (FPMR),Chile
6014,M-19 (Movement of April 19),Colombia
6015,M-19 (Movement of April 19),Colombia
6016,M-19 (Movement of April 19),Colombia
6017,National Liberation Army of Colombia (ELN),Colombia
6018,M-19 (Movement of April 19),Colombia
6019,M-19 (Movement of April 19),Colombia
